epoch,lr,train_loss,train_mae,train_rmse,val_loss,val_mae,val_rmse
1,0.0005,0.13089484057348708,0.1782187209799492,0.3129092514639982,0.582733553647995,0.45719230169519726,0.9323187469565505
2,0.0005,0.0926883010112721,0.13749056725430123,0.2617868727263477,0.5706368714571,0.46050702255370435,0.9128439692757192
3,0.0005,0.08701519959646722,0.13296342642876893,0.25301625524263927,0.5629863798618316,0.45229673213789384,0.9016023165181666
4,0.0005,0.08623983678610428,0.13373671398477802,0.24981261031555518,0.5671860128641129,0.4593546939704471,0.8934941202092048
5,0.0005,0.08171039188037747,0.12940341422169888,0.24263104549483228,0.565513277053833,0.4533698876075639,0.8818507858518747
6,0.0005,0.07774160105897032,0.12525715511996902,0.23733289727412954,0.5928273558616638,0.47441841353837577,0.8759488153771268
7,0.0005,0.07593235997078211,0.12303063215515828,0.2343794380115115,0.5596453785896301,0.45102700995233225,0.8752059898907099
8,0.0005,0.0737531590073005,0.122433348914755,0.23029445834505388,0.5744318187236785,0.4579180084045193,0.8686521027507138
9,0.0005,0.07613701794458472,0.12362348403070304,0.23431833584637615,0.6132910013198852,0.4818166130363281,0.8836836596450873
10,0.0005,0.07089270999574143,0.11833513822194174,0.22597593627893026,0.5767427414655686,0.46852781728075,0.8801835148305611
11,0.0005,0.07407499509661095,0.1211933638187425,0.23226393377572715,0.5788886785507202,0.456183277622099,0.8703090030108116
12,0.00025,0.06727983494815619,0.115099175574703,0.2193949585384105,0.564606299996376,0.45307445895902787,0.8669106211358614
13,0.00025,0.06495410414493602,0.11088994014836802,0.21689605293618833,0.5812943637371063,0.4592696308567295,0.8689235761254652
14,0.00025,0.06489788141587506,0.11227747990690101,0.2168803994628506,0.5868463575839996,0.4656660929717453,0.8704828074667965
15,0.00025,0.06257780268788338,0.10918911639680348,0.2117248129575388,0.5675348758697509,0.4588884308975451,0.8669326465354609
16,0.000125,0.060462057914422905,0.10693251948591624,0.20898654473710307,0.5757755279541016,0.4597958764147247,0.8652280138469718
17,0.000125,0.05837120933701163,0.10600724105958731,0.20358459404024842,0.5679804027080536,0.45666839579477686,0.8696822013596675
18,0.000125,0.059222637716194855,0.10586825585825688,0.20638395576074378,0.5851953268051148,0.4717305866637133,0.8715774206087075
19,0.000125,0.05709711243600949,0.1041164064694808,0.20105997636017012,0.5712785303592682,0.4595335112056417,0.8659220358875894
