sector_bucket,num_tickers,num_train,num_val,num_test,test_mae,test_rmse,selected_val_baseline,selected_val_baseline_mae
Consumer Defensive,7,523,80,74,0.47093573212623596,0.6806183457374573,baseline_trailing_mean,0.5129638406250001
Utilities,3,289,39,34,0.5339717864990234,0.6866132020950317,baseline_trailing_mean,0.48548664102564104
Consumer Cyclical,7,496,81,80,0.7138546109199524,1.265235424041748,baseline_seasonal_naive,0.5794145555555554
Communication Services,7,338,64,71,0.744394063949585,1.3329265117645264,baseline_persistence,0.43387553125
OTHER,8,191,33,76,0.9731993675231934,1.4454710483551025,baseline_trailing_mean,1.632348484848485
Technology,17,823,162,184,0.9756506085395813,1.856083869934082,baseline_trailing_mean,0.7569422067901235
Financial Services,14,678,144,152,1.0099116563796997,1.5385797023773193,baseline_persistence,0.6252266527777778
Industrials,9,504,80,93,1.0776902437210083,1.8212898969650269,baseline_trailing_mean,1.1994062500000002
Healthcare,16,775,136,174,1.342524766921997,2.2300639152526855,baseline_trailing_mean,0.6222814908088234
