epoch,lr,train_loss,train_mae,train_rmse,val_loss,val_mae,val_rmse
1,0.0005,0.5477074384689331,0.6253551331358385,0.7699315296778942,0.6476923227310181,0.7474157153031765,0.9823544836398161
2,0.0005,0.4381309747695923,0.5625925539222556,0.7197739024325133,0.5341726541519165,0.6870431376573367,0.9135029728146887
3,0.0005,0.2746583014726639,0.41825967834405214,0.6034146480404359,0.4448217749595642,0.7435071196120518,0.9683104893026679
4,0.0005,0.24406542181968688,0.4104544455540015,0.5939033883176172,0.41242989897727966,0.6766191778274683,0.9037707392080785
5,0.0005,0.215948948264122,0.35717555220564345,0.5319957205106799,0.39254796504974365,0.6433451557770754,0.8468220154057908
6,0.0005,0.19790192246437072,0.32539860164959333,0.5024315319913324,0.39117303490638733,0.6477937155809158,0.857479752775532
7,0.0005,0.18021667301654815,0.29594348862793,0.4652547599265954,0.3758567273616791,0.5997799883286158,0.8244958693050312
8,0.0005,0.16523402631282808,0.2745004705955825,0.45114032377675045,0.35650211572647095,0.5458078686243448,0.7812461703169794
9,0.0005,0.15569691061973573,0.2637543203083598,0.42881841597173836,0.34311944246292114,0.5279341282752844,0.733717971494738
10,0.0005,0.14907147139310836,0.24277909627268057,0.40166332495977985,0.33541369438171387,0.5125638257998687,0.7096958042266556
11,0.0005,0.13743284940719605,0.22175741785408923,0.38236605374789345,0.3186768889427185,0.48485385187161273,0.6822106233666876
12,0.0005,0.13144892305135727,0.2128323735894835,0.3624210401843621,0.30807629227638245,0.4694121277485138,0.6636185858704435
13,0.0005,0.12391546219587327,0.1961188464067799,0.33782959404209506,0.3087492883205414,0.46315264319762206,0.6531730496294456
14,0.0005,0.12298526167869568,0.1922530694687449,0.3348025916271727,0.2961285710334778,0.44657306105662614,0.6285737563196722
15,0.0005,0.11236217617988586,0.17747283518108117,0.31229678791060766,0.29909035563468933,0.4513029310947809,0.6261009502769433
16,0.0005,0.10831909626722336,0.18027000245879884,0.3041229598158598,0.29356876015663147,0.43597630583322966,0.6156375605279932
17,0.0005,0.10570781379938125,0.1650010053274644,0.28986715854791434,0.2978489100933075,0.44238616335086334,0.6155736953684072
18,0.0005,0.09522380977869034,0.15861842493207604,0.2767378728592395,0.29858970642089844,0.4403986678673671,0.6059742813323834
19,0.0005,0.09393818527460099,0.15679975072482671,0.27474412514116414,0.30823808908462524,0.45558648919447875,0.6214012661073395
20,0.0005,0.0896912805736065,0.1533246028871891,0.25958558993194053,0.2932208478450775,0.43080313007036847,0.5863326861278021
21,0.0005,0.09065252542495728,0.14905944942242133,0.2606170878590903,0.2977921664714813,0.4322807869085899,0.5930601214491573
22,0.0005,0.08715463876724243,0.14696568228098142,0.2477516548904827,0.3100283443927765,0.4586544136206309,0.6048801318057696
23,0.0005,0.08348769545555115,0.13795478904304,0.24990313489303312,0.3090919852256775,0.44451825206096357,0.5975974009518508
24,0.0005,0.07755808830261231,0.12817934100035977,0.22188817439193917,0.3156701326370239,0.46777370763130677,0.6103023640708908
25,0.00025,0.08198678866028786,0.12407823418070495,0.21566567936933825,0.3180977702140808,0.45621441228267473,0.6072892202382207
26,0.00025,0.07771115601062775,0.12210986868294671,0.21617442171128498,0.32495084404945374,0.4601508772526032,0.6139871753838223
27,0.00025,0.07258714362978935,0.12096790881717906,0.21145013340700625,0.3323792815208435,0.47657004419045573,0.62566147850376
28,0.00025,0.07235788702964782,0.11634600230824577,0.21600591965537036,0.3385906219482422,0.4795009092642711,0.6329606782234233
29,0.000125,0.06704410165548325,0.10829055441421002,0.19119073963683145,0.3416925072669983,0.48184210176651293,0.6366070724981143
30,0.000125,0.0698036178946495,0.10996787067000016,0.19162441362767357,0.3513447940349579,0.5020972727200924,0.6487045642228203
31,0.000125,0.06907816454768181,0.11613171485777957,0.19864120704797952,0.345380038022995,0.4905916830668083,0.6411695594597402
32,0.000125,0.06684686169028282,0.11189588645930727,0.19470664018535344,0.33985674381256104,0.47332506072826874,0.6326578374742332
