sector_bucket,num_tickers,num_train,num_val,num_test,test_mae,test_rmse,selected_val_baseline,selected_val_baseline_mae
Consumer Defensive,7,523,80,74,0.4635806083679199,0.6626840233802795,baseline_trailing_mean,0.5129638406250001
Utilities,3,289,39,34,0.47188007831573486,0.6457838416099548,baseline_trailing_mean,0.48548664102564104
Consumer Cyclical,7,496,81,80,0.7258187532424927,1.2825453281402588,baseline_seasonal_naive,0.5794145555555554
Communication Services,7,338,64,71,0.7540584206581116,1.3448117971420288,baseline_persistence,0.43387553125
Financial Services,14,678,144,152,0.8940937519073486,1.4725879430770874,baseline_persistence,0.6252266527777778
Technology,17,823,162,184,0.9813413023948669,1.8479751348495483,baseline_trailing_mean,0.7569422067901235
OTHER,8,191,33,76,1.034432053565979,1.4426047801971436,baseline_trailing_mean,1.632348484848485
Industrials,9,504,80,93,1.168561577796936,1.8938976526260376,baseline_trailing_mean,1.1994062500000002
Healthcare,16,775,136,174,1.3256597518920898,2.2032089233398438,baseline_trailing_mean,0.6222814908088234
