sector_bucket,num_tickers,num_train,num_val,num_test,test_mae,test_rmse,selected_val_baseline,selected_val_baseline_mae
Consumer Defensive,7,523,80,74,0.42296916246414185,0.5926439166069031,baseline_trailing_mean,0.5129638406250001
Utilities,3,289,39,34,0.5044395327568054,0.6088119149208069,baseline_trailing_mean,0.48548664102564104
Financial Services,14,678,144,152,0.7656320333480835,1.2533822059631348,baseline_persistence,0.6252266527777778
Technology,23,1081,212,249,0.8083685040473938,1.436642050743103,baseline_persistence,0.6616030660377359
Communication Services,8,390,80,83,0.9101086258888245,1.4227789640426636,baseline_trailing_mean,0.479435903125
OTHER,8,191,33,76,0.9209907650947571,1.3427175283432007,baseline_trailing_mean,1.632348484848485
Industrials,9,504,80,93,1.0653389692306519,1.690006971359253,baseline_trailing_mean,1.1994062500000002
Healthcare,16,775,136,174,1.2394769191741943,2.060739040374756,baseline_trailing_mean,0.6222814908088234
Consumer Cyclical,10,593,113,111,2.136676073074341,7.906940460205078,baseline_trailing_mean,0.4903693230088496
