sector_bucket,num_tickers,num_train,num_val,num_test,test_mae,test_rmse,selected_val_baseline,selected_val_baseline_mae
Consumer Defensive,7,523,80,74,0.4259882867336273,0.640134334564209,baseline_trailing_mean,0.5129638406250001
Utilities,3,289,39,34,0.5699042677879333,0.7500953078269958,baseline_trailing_mean,0.48548664102564104
Technology,23,1081,212,249,0.8607506155967712,1.6874722242355347,baseline_persistence,0.6616030660377359
Communication Services,8,390,80,83,0.8753999471664429,1.5108256340026855,baseline_trailing_mean,0.479435903125
Financial Services,14,678,144,152,0.9006626605987549,1.486938238143921,baseline_persistence,0.6252266527777778
OTHER,8,191,33,76,1.0491694211959839,1.4754586219787598,baseline_trailing_mean,1.632348484848485
Industrials,9,504,80,93,1.1157199144363403,1.7896326780319214,baseline_trailing_mean,1.1994062500000002
Healthcare,16,775,136,174,1.3360148668289185,2.2142493724823,baseline_trailing_mean,0.6222814908088234
Consumer Cyclical,10,593,113,111,2.230409860610962,7.9341607093811035,baseline_trailing_mean,0.4903693230088496
