sector_bucket,num_tickers,num_train,num_val,num_test,test_mae,test_rmse,selected_val_baseline,selected_val_baseline_mae
Utilities,3,289,39,34,0.3664427101612091,0.4901890158653259,baseline_trailing_mean,0.48548664102564104
Consumer Defensive,7,523,80,74,0.3793576955795288,0.5779544115066528,baseline_trailing_mean,0.5129638406250001
Consumer Cyclical,7,496,81,80,0.5774480700492859,1.1537590026855469,baseline_seasonal_naive,0.5794145555555554
Communication Services,7,338,64,71,0.712986409664154,1.1892718076705933,baseline_persistence,0.43387553125
Financial Services,14,678,144,152,0.7178125977516174,1.2493159770965576,baseline_persistence,0.6252266527777778
Technology,17,823,162,184,0.8666390180587769,1.566178321838379,baseline_trailing_mean,0.7569422067901235
OTHER,8,191,33,76,0.8851721882820129,1.3689903020858765,baseline_trailing_mean,1.632348484848485
Industrials,9,504,80,93,0.9330728054046631,1.6309832334518433,baseline_trailing_mean,1.1994062500000002
Healthcare,16,775,136,174,1.223923921585083,2.0991690158843994,baseline_trailing_mean,0.6222814908088234
