epoch,lr,train_loss,train_mae,train_rmse,val_loss,val_mae,val_rmse
1,0.0005,0.3276338477929433,0.44688235028211537,0.711403154557313,0.30338001251220703,0.4564310987479985,0.7432091574481652
2,0.0005,0.2391703650355339,0.3364967205396374,0.6690309142127585,0.29831111431121826,0.4330069723073393,0.7345002669318677
3,0.0005,0.21512661377588907,0.30098805981881077,0.6470961904484168,0.29384154081344604,0.4325677559245378,0.7313651228357975
4,0.0005,0.23397213717301688,0.3030381337381326,0.6499141868154082,0.30200904607772827,0.45750782871618867,0.7317701513663983
5,0.0005,0.20017682512601218,0.298398540115546,0.6419331924141932,0.2944030463695526,0.4297735921572894,0.7219549513638552
6,0.0005,0.2148565078775088,0.2873988649146576,0.6326754284536172,0.3006844222545624,0.44033725862391293,0.7174812527549574
7,0.0005,0.2309174338976542,0.2858915323716693,0.6211175428287977,0.31002211570739746,0.45977213396690786,0.7145119631635012
8,0.0005,0.1816281403104464,0.27632468434866275,0.6014590838235945,0.2976840138435364,0.4389867458958179,0.6954231276882255
9,0.0005,0.19641474137703577,0.2713224019182945,0.5787185937611751,0.29843661189079285,0.46579793374985456,0.6928058434951974
10,0.00025,0.16774412244558334,0.2603888446327365,0.566426574910506,0.28215086460113525,0.4316188981756568,0.671607248158505
11,0.00025,0.1635721797744433,0.25757188268402625,0.5544864271968802,0.27970677614212036,0.4352607033215463,0.6653234762510426
12,0.00025,0.17888801669081053,0.24838178654438292,0.541721801580433,0.3157792091369629,0.47438859287649393,0.6808614457685579
13,0.00025,0.17176618923743567,0.2458779630526768,0.5271191871204217,0.28059911727905273,0.4441640148870647,0.6584845658367364
14,0.000125,0.1612232911090056,0.23959853039150672,0.5263093143431886,0.28326380252838135,0.44360258989036083,0.6552651050226177
15,0.000125,0.15721715490023294,0.22865878021035937,0.5107368779270983,0.3014507293701172,0.44177402555942535,0.6512597116034603
16,0.000125,0.14089087893565497,0.2320871501775271,0.5161855023973659,0.31089168787002563,0.4462823250796646,0.6512044672884323
17,0.000125,0.14129400253295898,0.2247230659194908,0.5105448260976179,0.3057630658149719,0.45069618453271687,0.6511781290650881
