epoch,lr,train_loss,train_mae,train_rmse,val_loss,val_mae,val_rmse
1,0.001,0.10556298169366857,0.27938204604013384,0.7593191548450082,0.4022820931341913,0.7220191603604084,1.205960789551667
2,0.001,0.08505161451373963,0.22791932796968556,0.7225754547945978,0.3920016470882628,0.7023959345630525,1.1953762082278434
3,0.001,0.0850034062453407,0.23161158454355513,0.7258731067999634,0.39238647288746303,0.699719473046975,1.1967733114725523
4,0.001,0.08238614247517383,0.22875748555736994,0.7197601883069518,0.40781979262828827,0.7183823201954106,1.2193823971983577
5,0.001,0.0793947605218025,0.21740840360269603,0.704177385271641,0.38770606451564366,0.6965202261538556,1.188360823516737
6,0.001,0.07648614540379098,0.21282496117055416,0.6926387746987429,0.3916238124171893,0.6996152881054312,1.20404907311949
7,0.001,0.07539458850279768,0.21184206359222846,0.6931669331983229,0.40011322498321533,0.7077383262448065,1.2136886160578715
8,0.001,0.07658208466749242,0.20836721258877405,0.6911087829303707,0.3987966428200404,0.7132168834149424,1.2012542222507954
9,0.001,0.07387712023201141,0.20877125424910442,0.6924044345772133,0.39641788353522617,0.7209570921453027,1.1896816156989174
10,0.0005,0.0684215987616397,0.19581274519389139,0.6724017413796668,0.38716183685594135,0.7006175189841694,1.1898047031099475
11,0.0005,0.0671693599247869,0.19193246627598004,0.6650564663109841,0.39340240011612576,0.7119402001262642,1.197389021438049
12,0.0005,0.06535699709932855,0.18914671813975178,0.6643068496396085,0.40257375770144993,0.7196677607070241,1.2244114097026204
13,0.0005,0.06361691225716408,0.18607899457792856,0.6542643830709719,0.4001651298668649,0.7166464497503411,1.2201261117001427
14,0.00025,0.06183291125567036,0.18314917713727005,0.6475696172515254,0.4082644407947858,0.7250302290550381,1.2329788619283186
15,0.00025,0.06318997649198517,0.18229499598599427,0.6509544849428021,0.4087962557872136,0.7295459768113991,1.2315569015307044
16,0.00025,0.06076137931581507,0.18081102642659944,0.648619307247896,0.39550574951701695,0.7122776484627846,1.2110231501815207
17,0.00025,0.060604888093756866,0.18098890214405905,0.6412663232802147,0.39965937038262683,0.7154936541951934,1.2194959676806996
