epoch,lr,train_loss,train_mae,train_rmse,val_loss,val_mae,val_rmse
1,0.00035,0.11279880509097526,0.300141307624599,0.7809028469739394,0.41324688245852786,0.7296240958126469,1.218922225938464
2,0.00035,0.08514676718635762,0.22801075574020568,0.7212464307429508,0.39311157994800144,0.7061592261436291,1.1991187481846708
3,0.00035,0.08301908667496544,0.22033114176384502,0.7189711184400213,0.39779797196388245,0.7088506177137283,1.2056894655393358
4,0.00035,0.07959221743364284,0.22349546623524844,0.7042358544705993,0.41219574626949096,0.7248968439008523,1.2341033925475655
5,0.00035,0.07968011859091038,0.22020439162331976,0.7096328900028266,0.3905027997162607,0.7022819353474511,1.1910931554612785
6,0.00035,0.07784203646030832,0.21413033346624064,0.6960935848316486,0.3836728524830606,0.6931509535707947,1.18676770872194
7,0.00035,0.07838630743641803,0.2192622355036556,0.7025375119262902,0.38676660921838546,0.6974616566634116,1.1856756703015403
8,0.00035,0.07649205508146514,0.2093265381627061,0.6956469417509044,0.40588607390721637,0.7186741833453804,1.2187439461576974
9,0.00035,0.07437878672746902,0.20811395319817372,0.6875180565691594,0.39258909225463867,0.70806446764699,1.1963902313641066
10,0.00035,0.07289472800937105,0.20814490812443068,0.6804576231798407,0.40644972026348114,0.7289894745335914,1.2097610335430429
11,0.000175,0.0701917576742299,0.19871959656945593,0.6715046333611802,0.3821449006597201,0.6890556936074669,1.1865920036228144
12,0.000175,0.06851415692808781,0.19480857753415487,0.6662869063015007,0.3948521638909976,0.7107417980700524,1.2046567110815243
13,0.000175,0.0681735959221074,0.19481002445750603,0.6636026739791193,0.40777719931470024,0.7282906709200082,1.2192498540381338
14,0.000175,0.06896959108478845,0.19801470983125152,0.6670132737134369,0.38886532766951454,0.7003575590465011,1.1907477480308817
15,0.000175,0.06517724416397036,0.1888953720074274,0.6576988905776927,0.3938117308749093,0.7110570673960157,1.2030705770703742
16,8.75e-05,0.06605107796953079,0.19111304613178165,0.6566254593754385,0.39274418850739795,0.7127442039394131,1.1997364718018524
17,8.75e-05,0.06217881357495455,0.18309895053438685,0.6434613294241631,0.38581401771969265,0.7035179603844881,1.189689078525573
18,8.75e-05,0.0623036750413953,0.18252919649002364,0.6410864473537354,0.39023391902446747,0.7074220981578239,1.203730562932367
19,8.75e-05,0.06191036608466442,0.1831144832562474,0.6327223564643342,0.3888859964079327,0.7075926021336474,1.1903323490962339
20,4.375e-05,0.0614054605285538,0.18350880582279513,0.629969250234652,0.38780908121003044,0.7051143275910161,1.193959697641006
21,4.375e-05,0.06041679180603712,0.17854250826155024,0.629822475252192,0.3973306276732021,0.7181206061634131,1.2146429657391706
22,4.375e-05,0.060619096608555065,0.17747781926444292,0.6303203327279996,0.3932487078838878,0.7147167450877734,1.2084284971155057
23,4.375e-05,0.05812319318585573,0.17545801958905,0.6214786802571697,0.39225485175848007,0.7155510227118308,1.2035295819495035
