epoch,lr,train_loss,train_mae,train_rmse,val_loss,val_mae,val_rmse
1,0.0005,0.13131110799274867,0.354848554459657,0.9177158738382802,0.33852724532286327,0.7466548749909918,1.4177136341609373
2,0.0005,0.10578221535380883,0.3013211806321969,0.8430494177104395,0.3078892782330513,0.6851144351081409,1.3336647664244015
3,0.0005,0.09582525940871314,0.28121879021535184,0.8066179904094712,0.30432526071866356,0.6902181822136289,1.300186457233235
4,0.0005,0.09054968289182155,0.2718080659567491,0.7840982000503519,0.30844486554463707,0.6988213616062764,1.3131542441472868
5,0.0005,0.08276740264713386,0.2563664155305345,0.7517805911194837,0.3024628718694051,0.679070421237592,1.2933046087565232
6,0.0005,0.0827478757953342,0.2555728083922992,0.7486031847437443,0.30435589477419855,0.6859250371847119,1.2795421944499
7,0.0005,0.07859024524547253,0.2466879911618982,0.7221750787649348,0.30903706401586534,0.7012529459293432,1.2599872349679044
8,0.0005,0.0775686202900885,0.246683228005996,0.7104469552391535,0.2925913194815318,0.6710924027485604,1.2748183755261604
9,0.0005,0.07270479605450661,0.23850783308504325,0.6892086460746779,0.31143359243869784,0.7007741929034955,1.30939621483096
10,0.0005,0.07110934567790997,0.23511454927579595,0.6668179564334509,0.30819908728202183,0.6965364574829488,1.3206146318628105
11,0.0005,0.06652940496142153,0.22789469024886044,0.6390152938242163,0.3044592132170995,0.6852421404097144,1.3151209480107597
12,0.0005,0.06629291598838341,0.2264511300323462,0.6467747630005558,0.32610229551792147,0.7247920954577632,1.3604115889260744
13,0.00025,0.059000562404907204,0.21298417854319315,0.5968885540051437,0.3060885310173035,0.6888084383772822,1.3055096557939276
14,0.00025,0.05653779765095892,0.20474666287056814,0.5911191466146718,0.30754761745532355,0.6974319921036616,1.303993442951379
15,0.00025,0.0538719970544305,0.20352254783011534,0.573346969995565,0.3097696622212728,0.697415481576434,1.3083681745152778
16,0.00025,0.05223683092177291,0.20011916653232562,0.5548394189854375,0.3221856380502383,0.7126123132945862,1.3308211808287935
17,0.000125,0.04838488945336659,0.1920326547240006,0.53988523245319,0.3111362944046656,0.6933489736116765,1.3185369750044842
18,0.000125,0.04863420390535759,0.190744626050369,0.5153103234901893,0.3077368512749672,0.6901559232304537,1.3079835732199612
19,0.000125,0.04528827878021741,0.18883057975986597,0.4902152034643465,0.3248023425539335,0.7208849252277788,1.3461289508795633
20,0.000125,0.045138191879738734,0.186275763053797,0.4911424319486376,0.3426872213681539,0.7487155250705283,1.3748502583263018
