sector_bucket,num_tickers,num_train,num_val,num_test,test_mae,test_rmse,selected_val_baseline,selected_val_baseline_mae
Healthcare,16,775,136,174,1.8570475578308105,2.5585618019104004,baseline_trailing_mean,0.6222814908088234
Utilities,3,289,39,34,3.166851758956909,3.7415688037872314,baseline_trailing_mean,0.48548664102564104
Consumer Cyclical,10,593,113,111,3.9441237449645996,8.40928840637207,baseline_trailing_mean,0.4903693230088496
Consumer Defensive,7,523,80,74,5.303621292114258,6.283650875091553,baseline_trailing_mean,0.5129638406250001
OTHER,8,191,33,76,8.712054252624512,9.823711395263672,baseline_trailing_mean,1.632348484848485
Communication Services,8,390,80,83,9.195230484008789,11.395580291748047,baseline_trailing_mean,0.479435903125
Technology,23,1081,212,249,12.33031940460205,14.492947578430176,baseline_persistence,0.6616030660377359
Industrials,9,504,80,93,21.04189682006836,24.352027893066406,baseline_trailing_mean,1.1994062500000002
Financial Services,14,678,144,152,24.521081924438477,31.195781707763672,baseline_persistence,0.6252266527777778
