epoch,lr,train_loss,train_mae,train_rmse,val_loss,val_mae,val_rmse
1,0.0005,0.12215746003979196,0.2923647927476739,0.8349142847140361,0.48665210157632827,0.7624345456209869,1.5575317098004695
2,0.0005,0.10265382596602042,0.2543931482645605,0.7846779693639909,0.5201890528202057,0.7535497932405821,1.4859129236409148
3,0.0005,0.10049120585123698,0.24966472975399978,0.7673588347330252,0.4530181631445885,0.728048035377187,1.4359531901439482
4,0.0005,0.09270267266159256,0.2418538154528768,0.7384248019186945,0.4829237967729568,0.7101997796574543,1.4030836600078196
5,0.0005,0.08917716145515442,0.22980225855524053,0.7359761793242756,0.4998024880886078,0.7301445229075335,1.4188123217131168
6,0.0005,0.08580980878711368,0.22949692269040317,0.7147127628253949,0.44843743816018106,0.7140523960621192,1.425037873626539
7,0.0005,0.09020439783732097,0.22347998657386473,0.7017356782120308,0.47651319280266763,0.7129361089094188,1.4122875303261062
8,0.0005,0.08481471271564563,0.22386505585123767,0.7236860092275269,0.5639901839196682,0.7650395971401756,1.4864666168260754
9,0.00025,0.08263358037220314,0.2219606935412424,0.7108528250464219,0.4693737104535103,0.7118530087879505,1.4003669138149974
10,0.00025,0.07846374819443251,0.21281941096368662,0.7125972590335385,0.5112736828625202,0.7326149412045448,1.4244783879053475
11,0.00025,0.0810279730358161,0.21738366939876017,0.7112125733936504,0.4423069000244141,0.705596471783416,1.3824520207595261
12,0.00025,0.07555179356131703,0.2089019677329631,0.6875792674416626,0.5629119753837586,0.7646991333378286,1.4556468289820907
13,0.00025,0.08289479887268196,0.22012773603328809,0.6810121974424727,0.4722340852022171,0.7128659800851139,1.4085838625038674
14,0.00025,0.08100776044496645,0.22072761193963172,0.726511874385435,0.5106790706515312,0.7355417317775046,1.42611693368031
15,0.00025,0.07816903574469809,0.21080213325627611,0.7076776170521641,0.46900419518351555,0.7112075897640195,1.4231631333832144
16,0.000125,0.07634436651521052,0.20947798123416933,0.7009900447874213,0.4868887424468994,0.7169961955526779,1.4209305127444074
17,0.000125,0.08597793950078388,0.20762604069031595,0.6982059399295467,0.4868200957775116,0.7149049209173898,1.4220262711858283
18,0.000125,0.07591961820920308,0.21164668093002165,0.6856274923353654,0.46997258216142657,0.7072534301029197,1.4170390099011791
19,0.000125,0.07369832532519165,0.20636663858379373,0.6723362116524557,0.4641298860311508,0.707564189657569,1.4223592688029556
20,6.25e-05,0.07226585272777204,0.20371817003301956,0.663678549140716,0.4723116233944893,0.7092138489611961,1.4147729652716678
21,6.25e-05,0.07301886383599292,0.2057326929720603,0.6654025157106047,0.48512703478336333,0.7166829584037949,1.4250066192378636
22,6.25e-05,0.0719768672909898,0.20213712877795792,0.6661714119806916,0.47156709209084513,0.7098107414609143,1.4189898954520062
23,6.25e-05,0.06958162273319128,0.19988159009991713,0.6570413598788916,0.4787227466702461,0.7191348786208908,1.4243791235115175
