epoch,lr,train_loss,train_mae,train_rmse,val_loss,val_mae,val_rmse
1,0.0005,0.22691338441588663,1.1287356599681848,1.789282883608303,0.16569949189821878,0.814701147377491,1.224186866960772
2,0.0005,0.14377369596199555,0.6971071780903765,1.516134408134098,0.15176783688366413,0.6576035343524482,1.1256983015625317
3,0.0005,0.1348778656260534,0.6366172086744182,1.4685464235533001,0.14560960854093233,0.6952735129743814,1.1455548682811552
4,0.0005,0.1255429658022794,0.6082577250216563,1.4059401492619383,0.14254140481352806,0.6700952082044549,1.1537402605853375
5,0.0005,0.11816378513520415,0.5916146318370525,1.3797904946675226,0.15280533085266748,0.6945660149471627,1.1916965168449734
6,0.0005,0.10945338467982682,0.5640516115522842,1.298352600538439,0.17008072137832642,0.786392200531231,1.2887289981719834
7,0.00025,0.1034132137217305,0.5583468980916877,1.2375879815437674,0.16363133241732916,0.7257352076056931,1.2447212422076723
8,0.00025,0.09115336852317507,0.5339555602498726,1.1931647073226528,0.17496349290013313,0.7979013191329108,1.3153092352585765
9,0.00025,0.08973722024397417,0.5163824588642799,1.1581383332261532,0.18575801948706308,0.8235191121283505,1.3399340603051435
10,0.00025,0.08177092976190826,0.5129959077236399,1.1214945738544244,0.19959396993120512,0.8727523802469174,1.4016054212076723
11,0.000125,0.077700818634846,0.5029240495313761,1.0866573568585414,0.19973507275183996,0.8771261881209083,1.4042485455934883
12,0.000125,0.07870409569957039,0.5030481958305766,1.077662775176336,0.19715729728341103,0.8765497805757655,1.3951498394444535
13,0.000125,0.07453315586528995,0.49079729988621573,1.039426242868155,0.20723127822081247,0.9108322622875372,1.4417061373066924
14,0.000125,0.07582430846311829,0.4894883639143456,1.0239376579064843,0.2100053901473681,0.9213510404030482,1.454663013783671
