sector_bucket,num_tickers,num_train,num_val,num_test,test_mae,test_rmse,selected_val_baseline,selected_val_baseline_mae
Consumer Defensive,7,523,80,74,0.4649519920349121,0.682068943977356,baseline_trailing_mean,0.5129638406250001
Utilities,3,289,39,34,0.4753715991973877,0.6547923684120178,baseline_trailing_mean,0.48548664102564104
Communication Services,8,390,80,83,0.8771019577980042,1.5188064575195312,baseline_trailing_mean,0.479435903125
Technology,23,1081,212,249,0.8773919939994812,1.6941919326782227,baseline_persistence,0.6616030660377359
Financial Services,14,678,144,152,1.0079028606414795,1.5663256645202637,baseline_persistence,0.6252266527777778
OTHER,8,191,33,76,1.0553982257843018,1.5090348720550537,baseline_trailing_mean,1.632348484848485
Industrials,9,504,80,93,1.0664775371551514,1.783589243888855,baseline_trailing_mean,1.1994062500000002
Healthcare,16,775,136,174,1.3526960611343384,2.2130608558654785,baseline_trailing_mean,0.6222814908088234
Consumer Cyclical,10,593,113,111,2.2210800647735596,7.929346561431885,baseline_trailing_mean,0.4903693230088496
