epoch,lr,train_loss,train_mae,train_rmse,val_loss,val_mae,val_rmse
1,0.0005,0.30080405148592865,1.886928518876917,2.71753804850688,0.19112586478392282,1.267950761028462,1.6708575538909127
2,0.0005,0.21645495295524597,1.3816168114960545,2.135322231122893,0.24131607015927634,1.484220550292068,1.8139235125517752
3,0.0005,0.18885543671521274,1.114771166953717,1.7425153824864807,0.13650592168172201,0.807400519028306,1.201193047716445
4,0.0005,0.16864977302876386,1.0549274317282842,1.7336808949102533,0.16385461141665777,0.8724481393065717,1.2296580680603746
5,0.0005,0.14672516150908035,0.8974489040925527,1.573994647308812,0.13775972525278726,0.8047955224497451,1.2436798118891395
6,0.0005,0.14147758687084372,0.8822036032677576,1.5689540190314322,0.13886578877766928,0.7317265578442149,1.0922121525520203
7,0.0005,0.12763038887218994,0.8063556756989091,1.4986188625455303,0.15973362078269324,0.8019798878166411,1.1934284524508072
8,0.0005,0.12271168353882703,0.7709829010519922,1.3971835828877375,0.15586824963490167,0.7744373256961504,1.1581319781613881
9,0.0005,0.11796964637257835,0.7362733333423778,1.4117258138386348,0.14686828603347143,0.7830515628059705,1.2108343681251923
10,0.0005,0.12025449289516969,0.7667244248267999,1.3816828196764324,0.15337691456079483,0.8051653630617592,1.1356220779176316
11,0.00025,0.10530136593363502,0.6737357208334942,1.2938853909929957,0.16033741583426794,0.8034289862132735,1.185209353272036
12,0.00025,0.09863582930781624,0.6413262588134074,1.214951147076303,0.16151180366675058,0.8387802303251293,1.2626881032902395
13,0.00025,0.08821026845411821,0.5807173042434507,1.1771331956737547,0.18316511064767838,0.9441362911214431,1.3858416423148472
14,0.00025,0.0901470123366876,0.5898971378385669,1.2212361732255765,0.17672951022783914,0.8555505058417717,1.2750613694101005
15,0.000125,0.08309809660369699,0.5524686851832675,1.153600900585001,0.16907825817664465,0.7897023362004094,1.18990162060295
16,0.000125,0.07822828638282689,0.5165572175536316,1.0957481494898251,0.18045739829540253,0.8711076124260823,1.2866490060710707
17,0.000125,0.08021623505787416,0.5195827625505077,1.0837541389639647,0.17931173741817474,0.8590339596072832,1.2908742534788542
18,0.000125,0.08310860937291925,0.5400089730967419,1.1723666521611293,0.17583806812763214,0.8288913890719414,1.245784151562294
